Model,Params,Data,Test F1,Train F1,Test Accuracy,Train Accuracy,Test Loss,Train Loss,Lambda1,Lambda2,Max Iter,Gamma,Batch Size,Plotting,Log,Polynomial,Data Split Y,Data Split X,Threshold
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.3789192,0.44901079,0.90111083,0.83238323,0.26953583,0.36373382,1.0,5.0,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.40983547,0.54570949,0.88338171,0.80827364,0.29635562,0.40143974,1.0,5.0,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.35845273,0.78266536,0.7441887,0.77439921,0.49451769,0.47722864,1.0,5.0,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.40822397,0.65726948,0.8413522,0.78292495,0.35319049,0.44714492,1.0,5.0,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.40881449,0.54764449,0.88254364,0.80859128,0.29697522,0.40166493,1.0,5.0,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.40990084,0.6535294,0.84443403,0.78259281,0.35047561,0.44606135,1.0,5.0,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.39422537,0.4707747,0.90115274,0.83579213,0.26608997,0.35803247,1.0,5.0,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.41872292,0.55483457,0.88570928,0.81202214,0.29288856,0.39599271,1.0,5.0,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36009244,0.78392695,0.74578105,0.77609708,0.49526043,0.47411401,1.0,5.0,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41441924,0.66045764,0.84432356,0.78557302,0.35612263,0.44411014,1.0,5.0,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.41877325,0.55409939,0.88638736,0.81217739,0.29169509,0.39628532,1.0,5.0,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.41838151,0.65857547,0.84935963,0.78677235,0.34553114,0.4399064,1.0,5.0,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.38991663,0.46480159,0.9016632,0.83522723,0.26829265,0.35979181,1.0,5.0,1000,0.05,1028,False,False,5,4,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (3, 3)]",train_raw.npy,0.41913487,0.5572202,0.88473787,0.81162232,0.29977954,0.39885151,1.0,5.0,1000,0.05,1028,False,False,5,3,3,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (1, 2)]",train_raw.npy,0.36115002,0.78424185,0.7478991,0.77723514,0.49611545,0.47559808,1.0,5.0,1000,0.05,1028,False,False,5,1,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (2, 2)]",train_raw.npy,0.41156818,0.6635053,0.84083411,0.78577958,0.36295415,0.44491585,1.0,5.0,1000,0.05,1028,False,False,5,2,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (3, 2)]",train_raw.npy,0.41618416,0.55812155,0.88214746,0.81070197,0.30510328,0.40143757,1.0,5.0,1000,0.05,1028,False,False,5,3,2,
Logistic Regression with both regularization,"[1.0, 5.0, 1000, 0.05, 1028, False, False, 5, (2, 3)]",train_raw.npy,0.41606839,0.66155455,0.84571781,0.78689591,0.35541927,0.44236801,1.0,5.0,1000,0.05,1028,False,False,5,2,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (4, 2)]",train_raw.npy,0.39344586,0.47620837,0.89837947,0.8344742,0.26485503,0.35865121,1.0,1.0,1000,0.05,1028,False,False,1,4,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (3, 3)]",train_raw.npy,0.41461333,0.55930662,0.8805513,0.81006155,0.29147236,0.39660358,1.0,1.0,1000,0.05,1028,False,False,1,3,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (1, 2)]",train_raw.npy,0.3626125,0.78241709,0.75164377,0.77639665,0.48609514,0.47102448,1.0,1.0,1000,0.05,1028,False,False,1,1,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (2, 2)]",train_raw.npy,0.4100376,0.65992399,0.84321501,0.78520496,0.34555346,0.44228571,1.0,1.0,1000,0.05,1028,False,False,1,2,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (3, 2)]",train_raw.npy,0.4144902,0.56111621,0.87989989,0.81034593,0.29215338,0.39679864,1.0,1.0,1000,0.05,1028,False,False,1,3,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 1, (2, 3)]",train_raw.npy,0.41130921,0.65733798,0.84454832,0.78441127,0.34401816,0.44134713,1.0,1.0,1000,0.05,1028,False,False,1,2,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (4, 2)]",train_raw.npy,0.41081509,0.50343772,0.897949,0.8385666,0.26211903,0.35145558,1.0,1.0,1000,0.05,1028,False,False,3,4,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (3, 3)]",train_raw.npy,0.42729181,0.57652373,0.8818808,0.81533676,0.29055103,0.39008077,1.0,1.0,1000,0.05,1028,False,False,3,3,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (1, 2)]",train_raw.npy,0.36330305,0.78517066,0.75214662,0.77895093,0.48800749,0.46979482,1.0,1.0,1000,0.05,1028,False,False,3,1,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (2, 2)]",train_raw.npy,0.41619474,0.66844134,0.84337501,0.78918422,0.35145965,0.43672213,1.0,1.0,1000,0.05,1028,False,False,3,2,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (3, 2)]",train_raw.npy,0.42595354,0.57455186,0.88237221,0.81493148,0.29086834,0.39053274,1.0,1.0,1000,0.05,1028,False,False,3,3,2,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 3, (2, 3)]",train_raw.npy,0.41915798,0.66610047,0.84747015,0.78970483,0.34351659,0.43383301,1.0,1.0,1000,0.05,1028,False,False,3,2,3,
Logistic Regression with both regularization,"[1.0, 1.0, 1000, 0.05, 1028, False, False, 5, (4, 2)]",train_raw.npy,0.41007337,0.50143642,0.89792995,0.83832844,0.26715969,0.35420127,1.0,1.0,1000,0.05,1028,False,False,5,4,2,
