Model,Params,Data,Test F1,Train F1,Test Accuracy,Train Accuracy,Test Loss,Train Loss
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 2), 0.5]",train_data_full.npy,0.42701649166916406,0.5764120064597962,0.8820598386322599,0.8155473360859539,0.2884338500234387,0.3882450725990125
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 2, (3, 3), 0.5]",train_data_full.npy,0.42969300579544684,0.5759835775655363,0.8832940961349456,0.8156987299357586,0.2836071577328765,0.3870248261970059
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 2), 0.5]",train_data_full.npy,0.4291160035477913,0.5883573692311362,0.8775227994788691,0.8159937557722725,0.29477054864502,0.3887353527016921
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 3, (3, 3), 0.5]",train_data_full.npy,0.42939821147694895,0.5831911970156528,0.8789780043122825,0.8149826685637414,0.2943039990508343,0.3893194035633652
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 2), 0.5]",train_data_full.npy,0.4283535987095584,0.5912971623025495,0.8751152354612847,0.8152288614608713,0.3002550251816787,0.39002100471887585
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 4, (3, 3), 0.5]",train_data_full.npy,0.4264120259353714,0.5835214236528695,0.8787189626141879,0.8153276623961311,0.2921947381006911,0.38890772980283234
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 2), 0.5]",train_data_full.npy,0.42811195914512884,0.5946428270996559,0.8729438565213746,0.8153909657570404,0.3080341513860858,0.3923218614865686
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 5, (3, 3), 0.5]",train_data_full.npy,0.4266574153281473,0.5866156648432254,0.8763761590211271,0.8148535485936907,0.30015609154942885,0.39122360788599425
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 2), 0.5]",train_data_full.npy,0.4258230041542761,0.596574853422136,0.8712943704143905,0.8149647500394727,0.3114160999381133,0.39362075912600486
Logistic Regression with both regularization,"[0.5, 0.5, 1000, 0.05, 1028, False, False, 6, (3, 3), 0.5]",train_data_full.npy,0.4284156811038961,0.5860043697576794,0.8773132804583513,0.8152805928331555,0.30233816459242274,0.39264619558589237
